True,Predict
37.0002,38.645389579263934
36.9578,38.609134272176355
36.9054,38.568909681763074
36.8248,38.533216565897355
36.7539,38.42927285252783
36.6585,38.31778892001136
36.5531,38.220970338732606
36.4209,38.1475825127781
36.3073,37.96590821444726
36.1514,37.79555320161777
35.9707,37.571914633426466
35.7812,37.3831349467746
35.5253,37.133307458810584
35.2822,36.8210150851261
34.9956,36.481464564334544
34.6885,36.16930518760721
34.3305,35.7901283470739
33.973,35.47402782153763
33.5691,35.01950644824026
33.157,34.49911489628428
32.6458,34.02802207202612
32.1163,33.39614266111694
31.503,32.80206389201985
30.8563,32.087880619234824
30.1006,31.16551322518939
29.3059,30.30215232518406
28.3734,29.317429131192718
27.3901,28.334929689487836
26.2815,27.23174827700024
25.1385,25.949371012039197
23.9563,24.7673497550009
22.7541,23.401587447038928
21.6089,21.938567669917997
20.4797,20.944645070059906
19.4771,19.96280232357302
18.5274,19.059794042232333
17.7396,18.13130583335485
17.0028,17.3701922802574
16.3802,16.738830266585115
15.8731,16.255584557352453
15.4429,15.830907005657473
15.0915,15.386056098055649
14.7905,15.13389761050913
14.5669,14.890509775790676
14.3478,14.646407782580477
14.16,14.436748417608902
13.9959,14.279834813076006
13.8728,14.071038085033845
13.7306,13.942974257035768
13.5935,13.80193275729167
13.4403,13.706718145314168
13.2988,13.545659079055001
13.1694,13.452068013316273
13.0666,13.229636489251504
12.906,13.120328989551036
12.7717,12.95864338480683
12.6316,12.827178811646293
12.498,12.657438084565142
12.392,12.520540794244521
12.2073,12.334021622656644
12.0573,12.147782217881934
11.9023,12.034063181871636
11.7751,11.87789384097925
11.5974,11.720407142967863
11.4511,11.54577913756631
11.2672,11.341535705305237
11.0822,11.174043850496467
10.9099,10.979768343609106
10.7168,10.832741540078409
10.5184,10.620173695508225
10.3296,10.41874686521803
10.1247,10.212675421122885
9.93597,10.004822639450062
9.72623,9.811355052462892
9.51294,9.573160736079167
9.32291,9.37833742665744
9.09988,9.167626031184813
8.90644,9.013072254229604
8.71007,8.741051297579887
8.52494,8.548142796983141
8.31786,8.388539342346855
8.12195,8.115675761253879
7.9279,7.902940290212299
7.73851,7.737533251669742
7.53195,7.524759720521302
7.33748,7.30230056478386
7.15628,7.096354680959084
6.9375,6.864596983135192
6.73789,6.689702082352515
6.54993,6.486878677846376
7.14388,6.780620215834847
6.88373,6.53318933030772
6.61303,6.241092170816688
6.354,6.041249448117572
6.09858,5.758859492974326
5.83953,5.483709090903607
5.58444,5.238323326167477
5.33528,5.0030357186723595
5.0507,4.7811403563697805
4.82066,4.54295899467322
4.56979,4.272273790420473
4.32416,4.009091058545037
4.08982,3.8280523079383344
3.87069,3.5848308768355497
3.6324,3.3756203236693847
3.38722,3.1316448229945504
3.15222,2.910703157614611
2.93297,2.696313945407287
2.7118,2.450438260560992
2.49183,2.2683593761045757
2.2902,2.0716848186954433
2.08836,1.8914671514994625
1.89302,1.7006212098227087
1.70719,1.5447093037794994
1.52989,1.3713887984318944
1.36014,1.2315931269619886
1.19702,1.0840163301306511
1.05052,0.9592444616508569
0.913915,0.8361897912701921
0.790089,0.7393526762539131
0.681751,0.6563541673833972
0.589439,0.5887594522614035
0.515788,0.544601856692983
0.459158,0.5172266328731502
0.423579,0.5169821226548688
0.409263,0.5439178617014755
0.415993,0.5869713310671487
0.450264,0.6633848584725649
0.509669,0.7511933995565094
0.59861,0.8939394740960946
0.720182,1.0674680373687386
0.875456,1.2589473409502885
1.0604,1.49912892882501
1.28723,1.78949979800856
1.55416,2.095607383050766
1.86359,2.46962081223269
2.22264,2.901245053261146
2.62911,3.3833005684544717
3.08922,3.928969735538635
3.59782,4.474008373931359
