True,Predict
75.53333333,74.49827066582894
61.3,61.284152275494364
68.7,72.59498373666038
96.63333333,96.59703596273471
101.4666667,93.58384590669698
63.16666667,63.49280655116191
69.43333333,72.80315348979036
96.26666667,94.33745102196883
61.46666667,63.95920777093198
111.5333333,109.24960957268217
101.4333333,98.21022042477509
59.53333333,61.13089607177659
93.53333333,83.12158641406772
62.36666667,63.06213637316433
78.53333333,81.95771992359597
111.4,105.23296139914287
93.5,85.47795782049884
84.73333333,82.19280235246168
68.2,66.22006449059984
87.76666667,86.2941430838648
69.7,67.46684984719994
63.6,63.04289164053221
87.7,84.4555361692626
141.1,149.097814200602
48.26666667,49.06744704140098
150.0666667,136.71723445531873
93.93333333,104.15704585882358
96.16666667,103.06159159143282
79.1,74.75279213576687
88.56666667,86.53928669986465
61.86666667,62.27169969674756
75.63333333,77.75261742108371
74.76666667,74.83242370384698
109.7333333,109.93779171235644
100.6,94.45438384365396
110.5,101.93900502449722
81.46666667,74.86457572104378
161.1,122.59863881613329
81.73333333,73.44941305289659
