True,Predict
75.53333333,69.07555555466666
61.3,61.81212121272726
68.7,73.98888888722223
96.63333333,97.30333332900001
101.4666667,92.73063063000004
63.16666667,66.53333333285715
69.43333333,69.07555555466666
96.26666667,91.54347826152183
61.46666667,66.53333333285715
111.5333333,98.0794871830769
101.4333333,92.87500000187508
59.53333333,61.483333335
93.53333333,82.81319444416667
62.36666667,62.775
78.53333333,81.7293333328
111.4,108.69444443333333
93.5,84.40694444416668
84.73333333,82.12395833187499
68.2,66.849999999
87.76666667,82.88333333250002
69.7,66.53333333285715
63.6,65.5583333325
87.7,83.14666666666668
141.1,124.4333333
48.26666667,69.89200000000001
150.0666667,124.4333333
93.93333333,108.9111111
96.16666667,97.63611110416667
79.1,72.36904761785715
88.56666667,83.87708333312499
61.86666667,62.32000000000001
75.63333333,72.769999999
74.76666667,71.74126984142858
109.7333333,110.03333331249998
100.6,92.17407407444448
110.5,106.8458333375
81.46666667,70.16944444333335
161.1,124.4333333
81.73333333,76.60416666583335
